Gender,10percentage,12percentage,CollegeTier,Degree,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
2,87.8,84.0,1,1,73.82,1,650,665,810,0.694479327708463,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
1,57.0,64.5,2,1,65.0,0,440,435,210,0.342314899911815,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
1,77.33,85.17,2,1,61.94,0,485,475,505,0.824666400671332,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
1,84.3,86.0,1,1,80.4,1,675,620,635,0.990008756723898,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
2,82.0,75.0,2,1,64.3,1,575,495,365,0.278457409311292,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,200000
2,83.16,77.0,1,2,99.93,0,535,595,620,0.376059586651545,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
2,72.5,53.2,2,1,68.0,1,510,495,405,0.829584599793067,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
1,76.8,87.7,2,1,73.15,0,510,555,440,0.744758354008939,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
2,57.0,73.0,2,1,70.08,0,500,410,560,0.622642915849938,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
1,81.2,79.9,2,1,67.67,0,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
2,90.0,82.1,2,1,85.0,0,640,530,705,0.486747008438193,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
1,86.4,86.2,2,1,81.4,1,720,630,750,0.338786347219528,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
1,84.13,77.0,2,1,75.2,0,385,515,465,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
1,81.7,75.8,2,1,78.7,0,475,245,485,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
2,86.0,89.0,2,1,73.9,0,520,570,620,0.953899775079926,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
1,66.15,54.0,2,1,66.0,0,360,495,280,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
1,79.29,68.67,2,1,76.0,0,545,505,595,0.356536487724475,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
